ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13578,1,PS/MS 138 SUNRISE,251-11 Weller Ave,11422,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,788,1,Day Care or Head Start Center Capacity,Children,,788,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,660,660,31,29,105,3620,4135780001,1057956,179799,L,40.65955281,-73.73472697,1,rooftop,251-011,Weller Ave,Rosedale,NY,Queens County,11422
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,10756,1,PS 33 EDWARD M FUNK,91-37 222 St,11428,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,1045,1,Day Care or Head Start Center Capacity,Children,,1045,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,560,560,23,29,105,2910,4107560001,1057948,204317,L,40.72701519,-73.73475791,1,rooftop,91-037,222nd St,Queens Village,NY,Queens County,11428
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13655,1,PS 195 WILLIAM HABERLE,253-50 149 Ave,11422,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,680,1,Day Care or Head Start Center Capacity,Children,,680,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,664,664,31,29,105,3620,4136550001,1057612,177161,L,40.6528477,-73.7350267,1,rooftop,253-050,149th Ave,Rosedale,NY,Queens County,11422
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,12973,1,GORDON PARKS SCHOOL (THE),233-15 Merrick Blvd,11422,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,669,1,Day Care or Head Start Center Capacity,Children,,669,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,618,618,31,29,105,3531,4129730001,1057426,185324,L,40.67500317,-73.73662646,1,rooftop,233-015,Merrick Blvd,Rosedale,NY,Queens County,11422
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,11151,81,PS 34 JOHN HARVARD,104-12 Springfield Blvd,11429,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,568,1,Day Care or Head Start Center Capacity,Children,,568,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,582,582,27,29,105,2920,4111510081,1056933,198434,L,40.71063646,-73.73748734,1,rooftop,104-012,Springfield Blvd,Queens Village,NY,Queens County,11429
1.03E+13,4,QN,411,QUEENS COMMUNITY DISTRICT 11,8135,29,PS 94 DAVID D PORTER,41-77 Little Neck Pkwy,11363,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,397,1,Day Care or Head Start Center Capacity,Children,,397,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1479,1479,19,26,111,2150,4081350029,1056618,220388,L,40.77121409,-73.73882795,1,rooftop,41-077,Little Neck Pkwy,Little Neck,NY,Queens County,11363
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,11300,1,PS/MS 147 RONALD MCNAIR,218-01 116 Ave,11411,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,704,1,Day Care or Head Start Center Capacity,Children,,704,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,598,598,27,29,105,2920,4113000001,1056306,193693,L,40.69743966,-73.74061141,1,rooftop,218-001,116th Ave,Cambria Heights,NY,Queens County,11411
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13170,12,PS 156 LAURELTON,229-02 137 Ave,11413,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,452,1,Day Care or Head Start Center Capacity,Children,,452,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,646,646,31,29,105,3531,4131700012,1055449,184301,L,40.67271792,-73.74287627,1,rooftop,229-002,137th Ave,Springfield Gardens,NY,Queens County,11413
1.03E+13,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15597,1,PS 197 THE OCEAN SCHOOL,825 Hicksville Rd,11691,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,525,1,Day Care or Head Start Center Capacity,Children,,525,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1010.02,101002,31,27,101,3800,4155970001,1055315,157870,L,40.59998759,-73.74399543,1,rooftop,825,Hicksville Rd,Far Rockaway,NY,Queens County,11691
1.03E+13,4,QN,411,QUEENS COMMUNITY DISTRICT 11,7677,1,PS 213 THE CARL ULLMAN SCHOOL,231-02 67 Ave,11364,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,436,1,Day Care or Head Start Center Capacity,Children,,436,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1377,1377,23,26,111,2140,4076770001,1054792,211698,L,40.74758909,-73.74545883,1,rooftop,231-002,67th Ave,Oakland Gardens,NY,Queens County,11364
1.03E+13,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15541,1,PS 253,1307 Central Ave,11691,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,512,1,Day Care or Head Start Center Capacity,Children,,512,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1032.02,103202,31,27,101,3800,4155410001,1053999,160612,L,40.60740247,-73.74901464,1,rooftop,1307,Central Ave,Far Rockaway,NY,Queens County,11691
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,12927,28,PS 132 RALPH BUNCHE,132-15 218 St,11413,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,346,1,Day Care or Head Start Center Capacity,Children,,346,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,626,626,31,29,105,3531,4129270028,1053783,187827,L,40.68227317,-73.7495896,1,rooftop,132-015,218th St,Springfield Gardens,NY,Queens County,11413
1.03E+13,4,QN,411,QUEENS COMMUNITY DISTRICT 11,8082,285,PS 98 THE DOUGLASTON SCHOOL,40-20 235 St,11363,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,219,1,Day Care or Head Start Center Capacity,Children,,219,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1483,1483,19,26,111,2150,4080820285,1053506,219538,L,40.76916543,-73.74960008,1,rooftop,40-020,235th St,Little Neck,NY,Queens County,11363
1.03E+13,4,QN,412,QUEENS COMMUNITY DISTRICT 12,11018,21,PS 136 ROY WILKINS,201-15 115 Ave,11412,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,627,1,Day Care or Head Start Center Capacity,Children,,627,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,520,520,27,29,113,3520,4110180021,1052824,194016,L,40.6984829,-73.75264766,1,rooftop,201-015,115th Ave,Saint Albans,NY,Queens County,11412
1.03E+13,4,QN,412,QUEENS COMMUNITY DISTRICT 12,12723,76,PS 176 CAMBRIA HEIGHTS,132-55 Ridgedale St,11413,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,737,1,Day Care or Head Start Center Capacity,Children,,737,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,352,352,27,29,113,3532,4127230076,1052805,187808,L,40.68201689,-73.75313302,1,rooftop,132-055,Ridgedale St,Springfield Gardens,NY,Queens County,11413
1.03E+13,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13718,1,PS 181 BROOKFIELD,148-15 230 St,11413,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,363,1,Day Care or Head Start Center Capacity,Children,,363,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,694,694,31,29,105,3620,4137180001,1052794,178258,L,40.65550475,-73.7522887,1,rooftop,148-015,230th Pl,Springfield Gardens,NY,Queens County,11413
1.03E+13,4,QN,411,QUEENS COMMUNITY DISTRICT 11,7774,165,PS 188 KINGSBURY,218-12 Hartland Ave,11364,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,632,1,Day Care or Head Start Center Capacity,Children,,632,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1291.04,129104,23,26,111,2140,4077740165,1052490,207518,L,40.73617414,-73.753331,1,rooftop,218-012,Hartland Ave,Oakland Gardens,NY,Queens County,11364
1.03E+13,4,QN,412,QUEENS COMMUNITY DISTRICT 12,10906,1,PS 134 HOLLIS,203-02 109 Ave,11412,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,491,1,Day Care or Head Start Center Capacity,Children,,491,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,508,508,27,29,103,3520,4109060001,1052245,197145,L,40.70788257,-73.75489865,1,rooftop,203-002,109th Ave,Saint Albans,NY,Queens County,11412
